nger,npop,cp,mp,xmaxc,xmax_edge,exec,g,worstFit,fit_avg,bestFit,desvPad,c,weights
150,20,0.8,0.01,2.0,110,2,149,2266.649635696099,1352.5926897667325,653.0286400479282,375.16173394287836,0.03301825837356665,[ 77.14900164  54.17845871  96.5162088   75.91011553  48.444448  56.89330922  73.41851753  81.3537291   79.8038355   59.36740963  78.31277946  47.55698543  78.43446143  86.3227037  102.77234046]
150,20,0.8,0.01,2.0,110,1,149,2178.708209396672,1528.9850290609188,700.1487925355779,351.44248120680794,0.1304380082864259,[102.81481296  62.90478457  88.70555765  64.07675885  58.028128  47.33908538  66.84726131  84.08259955  91.90645002  98.79057634  42.63083631  91.68524391  72.3491681   59.18360042 100.19881829]
150,20,0.8,0.01,2.0,110,4,149,1818.202910614848,1392.7831129858787,718.5189725546318,252.07979663221138,0.0520938649142931,[ 98.22249657 103.02787151  82.80213164  59.78152209  43.95292736  99.72846528  50.01952529  67.59296632  65.64151329  30.36787243  47.87876705  61.60533973  59.75955926  33.15430597  98.80247093]
150,20,0.8,0.01,2.0,110,1,149,39461.72693600762,4951.848026485875,749.5407840729494,8566.61704045893,0.00020881767483142788,[ 67.17961678  84.99590677  35.01821695  95.72976318  96.52371058 109.85407018  28.87679729 104.24762695  56.82773366  67.70612908  40.55689608  91.93537566  38.21352898  98.2983273   87.12548177]
150,20,0.8,0.01,2.0,110,0,149,3336.096205822659,1427.2342790407681,767.776907771322,542.6305244138256,0.009109030393399655,[93.15825215 46.14055859 60.97649326 97.79456508 56.08064985 30.33577141 86.04172631 66.85667808 63.27890638 89.6126722  97.61201049 83.04778561 79.19948237 91.76228196 91.59893733]
150,20,0.8,0.01,2.0,110,2,149,1608.0728898842658,1264.1306004877201,770.1320056578239,193.37972893906877,0.007453487990854034,[102.65912173  72.50148996  56.94035793  68.74242403  79.70225815  58.18731953  74.45372059  59.14792814  70.08035496  56.59589397  42.68874642  27.45353931  49.42550154  69.12239423 101.83539655]
150,20,0.8,0.01,2.0,110,3,149,2506.7970875779065,1505.5372482643124,770.6263529002401,313.5240125016469,0.01771831006326395,[ 90.58010137  89.80325656  65.59757582  97.53218356  81.55549663  57.10805928 101.43465049  81.05007768  64.53422856  49.5599021  61.64511066  69.38024529  34.25312698  49.01343257  87.31213374]
150,20,0.8,0.01,2.0,110,3,149,1788.0718624235994,1385.7850304454714,784.0704577215846,239.48459569414226,0.0615893082845261,[106.10960075  66.76936349  43.29507434  89.49947976  74.55941497  21.51511625  93.20322695  92.37261886  48.80507959  75.02752764  70.89134684  30.17406667  81.89144805  81.88679461  98.46324246]
150,20,0.8,0.01,2.0,110,4,149,1666.3999857654712,1283.3892044091813,784.6506860044891,214.6063786009948,0.04437622831099895,[ 76.21436633  91.9179995   29.86578797  74.10219094  85.91842241  81.29369866  59.71745968  79.0707255   96.68224948  92.89131557  81.46889167  64.76839064  12.93496602  84.34203807 105.8348183 ]
150,20,0.8,0.01,2.0,110,0,149,1762.6942887335724,1298.6090161717498,827.147561200003,214.13488047595746,0.061185363198261414,[89.24515515 94.81936571 71.48969109 87.09275944 33.97990435 73.69474686 38.87524659 71.26973408 28.88362564 68.05144584 50.75070605 78.70193924 61.56812508 91.31577329 99.38777079]
