,epi_week,date,country,state,city,ibgeID,cod_RegiaoDeSaude,name_RegiaoDeSaude,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,last_info_date
1752,13,2020-03-26,Brazil,MG,São João del Rei/MG,3162500,31015.0,São João Del Rei,0,0,1,1,0.0,1.10501,0.0,SES,2020-11-27
2034,13,2020-03-27,Brazil,MG,São João del Rei/MG,3162500,31015.0,São João Del Rei,0,0,0,1,0.0,1.10501,0.0,SES,2020-11-27
2344,13,2020-03-28,Brazil,MG,São João del Rei/MG,3162500,31015.0,São João Del Rei,0,0,1,2,0.0,2.21002,0.0,SES,2020-11-27
2683,14,2020-03-29,Brazil,MG,São João del Rei/MG,3162500,31015.0,São João Del Rei,0,0,0,2,0.0,2.21002,0.0,SES,2020-11-27
3056,14,2020-03-30,Brazil,MG,São João del Rei/MG,3162500,31015.0,São João Del Rei,0,0,0,2,0.0,2.21002,0.0,SES,2020-11-27
3471,14,2020-03-31,Brazil,MG,São João del Rei/MG,3162500,31015.0,São João Del Rei,0,0,0,2,0.0,2.21002,0.0,SES,2020-11-27
3925,14,2020-04-01,Brazil,MG,São João del Rei/MG,3162500,31015.0,São João Del Rei,0,0,0,2,0.0,2.21002,0.0,SES,2020-11-27
4024,14,2020-04-02,Brazil,MG,Barbacena/MG,3105608,31013.0,Barbacena,0,0,1,1,0.0,0.7235699999999999,0.0,SES,2020-11-27
4425,14,2020-04-02,Brazil,MG,São João del Rei/MG,3162500,31015.0,São João Del Rei,0,0,1,3,0.0,3.31503,0.0,SES,2020-11-27
4538,14,2020-04-03,Brazil,MG,Barbacena/MG,3105608,31013.0,Barbacena,0,0,0,1,0.0,0.7235699999999999,0.0,SES,2020-11-27
4982,14,2020-04-03,Brazil,MG,São João del Rei/MG,3162500,31015.0,São João Del Rei,0,0,0,3,0.0,3.31503,0.0,SES,2020-11-27
5101,14,2020-04-04,Brazil,MG,Barbacena/MG,3105608,31013.0,Barbacena,0,0,0,1,0.0,0.7235699999999999,0.0,SES,2020-11-27
5577,14,2020-04-04,Brazil,MG,São João del Rei/MG,3162500,31015.0,São João Del Rei,0,0,0,3,0.0,3.31503,0.0,SES,2020-11-27
5704,15,2020-04-05,Brazil,MG,Barbacena/MG,3105608,31013.0,Barbacena,0,0,0,1,0.0,0.7235699999999999,0.0,SES,2020-11-27
6214,15,2020-04-05,Brazil,MG,São João del Rei/MG,3162500,31015.0,São João Del Rei,0,0,0,3,0.0,3.31503,0.0,SES,2020-11-27
6351,15,2020-04-06,Brazil,MG,Barbacena/MG,3105608,31013.0,Barbacena,0,0,0,1,0.0,0.7235699999999999,0.0,SES,2020-11-27
6909,15,2020-04-06,Brazil,MG,São João del Rei/MG,3162500,31015.0,São João Del Rei,0,0,0,3,0.0,3.31503,0.0,SES,2020-11-27
7056,15,2020-04-07,Brazil,MG,Barbacena/MG,3105608,31013.0,Barbacena,0,0,0,1,0.0,0.7235699999999999,0.0,SES,2020-11-27
7661,15,2020-04-07,Brazil,MG,São João del Rei/MG,3162500,31015.0,São João Del Rei,0,0,0,3,0.0,3.31503,0.0,SES,2020-11-27
