step,ibge,name,newCases
0,3115201,Conceição da Barra de Minas,0.14285714285714285
0,3119708,Coronel Xavier Chaves,0.5714285714285714
0,3123007,Dores de Campos,0.0
0,3137403,Lagoa Dourada,0.42857142857142855
0,3139102,Madre de Deus de Minas,0.0
0,3144508,Nazareno,0.14285714285714285
0,3150307,Piedade do Rio Grande,0.14285714285714285
0,3152709,Prados,0.14285714285714285
0,3154200,Resende Costa,0.2857142857142857
0,3156106,Ritápolis,0.0
0,3157336,Santa Cruz de Minas,0.42857142857142855
0,3158706,Santana do Garambéu,0.0
0,3162500,São João del-Rei,5.857142857142857
0,3165008,São Tiago,0.2857142857142857
0,3168804,Tiradentes,0.2857142857142857
1,3115201,Conceição da Barra de Minas,2.0
1,3119708,Coronel Xavier Chaves,1.0
1,3123007,Dores de Campos,0.0
1,3137403,Lagoa Dourada,0.0
1,3139102,Madre de Deus de Minas,1.0
1,3144508,Nazareno,1.0
1,3150307,Piedade do Rio Grande,0.0
1,3152709,Prados,0.0
1,3154200,Resende Costa,0.0
1,3156106,Ritápolis,2.0
1,3157336,Santa Cruz de Minas,2.0
1,3158706,Santana do Garambéu,0.0
1,3162500,São João del-Rei,2.0
1,3165008,São Tiago,0.0
1,3168804,Tiradentes,1.0
2,3115201,Conceição da Barra de Minas,2.0
2,3119708,Coronel Xavier Chaves,0.0
2,3123007,Dores de Campos,0.0
2,3137403,Lagoa Dourada,0.0
2,3139102,Madre de Deus de Minas,0.0
2,3144508,Nazareno,0.0
2,3150307,Piedade do Rio Grande,0.0
2,3152709,Prados,0.0
2,3154200,Resende Costa,0.0
2,3156106,Ritápolis,2.0
2,3157336,Santa Cruz de Minas,2.0
2,3158706,Santana do Garambéu,0.0
2,3162500,São João del-Rei,2.0
2,3165008,São Tiago,1.0
2,3168804,Tiradentes,0.0
3,3115201,Conceição da Barra de Minas,2.0
3,3119708,Coronel Xavier Chaves,0.0
3,3123007,Dores de Campos,0.0
3,3137403,Lagoa Dourada,0.0
3,3139102,Madre de Deus de Minas,0.0
3,3144508,Nazareno,0.0
3,3150307,Piedade do Rio Grande,0.0
3,3152709,Prados,0.0
3,3154200,Resende Costa,0.0
3,3156106,Ritápolis,2.0
3,3157336,Santa Cruz de Minas,2.0
3,3158706,Santana do Garambéu,0.0
3,3162500,São João del-Rei,2.0
3,3165008,São Tiago,1.0
3,3168804,Tiradentes,0.0
4,3115201,Conceição da Barra de Minas,2.0
4,3119708,Coronel Xavier Chaves,0.0
4,3123007,Dores de Campos,0.0
4,3137403,Lagoa Dourada,0.0
4,3139102,Madre de Deus de Minas,0.0
4,3144508,Nazareno,0.0
4,3150307,Piedade do Rio Grande,0.0
4,3152709,Prados,0.0
4,3154200,Resende Costa,0.0
4,3156106,Ritápolis,2.0
4,3157336,Santa Cruz de Minas,2.0
4,3158706,Santana do Garambéu,0.0
4,3162500,São João del-Rei,2.0
4,3165008,São Tiago,1.0
4,3168804,Tiradentes,0.0
5,3115201,Conceição da Barra de Minas,2.0
5,3119708,Coronel Xavier Chaves,0.0
5,3123007,Dores de Campos,0.0
5,3137403,Lagoa Dourada,0.0
5,3139102,Madre de Deus de Minas,0.0
5,3144508,Nazareno,0.0
5,3150307,Piedade do Rio Grande,0.0
5,3152709,Prados,0.0
5,3154200,Resende Costa,0.0
5,3156106,Ritápolis,2.0
5,3157336,Santa Cruz de Minas,2.0
5,3158706,Santana do Garambéu,0.0
5,3162500,São João del-Rei,2.0
5,3165008,São Tiago,1.0
5,3168804,Tiradentes,0.0
6,3115201,Conceição da Barra de Minas,2.0
6,3119708,Coronel Xavier Chaves,0.0
6,3123007,Dores de Campos,0.0
6,3137403,Lagoa Dourada,0.0
6,3139102,Madre de Deus de Minas,0.0
6,3144508,Nazareno,0.0
6,3150307,Piedade do Rio Grande,0.0
6,3152709,Prados,0.0
6,3154200,Resende Costa,0.0
6,3156106,Ritápolis,2.0
6,3157336,Santa Cruz de Minas,2.0
6,3158706,Santana do Garambéu,0.0
6,3162500,São João del-Rei,2.0
6,3165008,São Tiago,1.0
6,3168804,Tiradentes,0.0
7,3115201,Conceição da Barra de Minas,2.0
7,3119708,Coronel Xavier Chaves,0.0
7,3123007,Dores de Campos,0.0
7,3137403,Lagoa Dourada,0.0
7,3139102,Madre de Deus de Minas,0.0
7,3144508,Nazareno,0.0
7,3150307,Piedade do Rio Grande,0.0
7,3152709,Prados,0.0
7,3154200,Resende Costa,0.0
7,3156106,Ritápolis,2.0
7,3157336,Santa Cruz de Minas,2.0
7,3158706,Santana do Garambéu,0.0
7,3162500,São João del-Rei,2.0
7,3165008,São Tiago,1.0
7,3168804,Tiradentes,0.0
8,3115201,Conceição da Barra de Minas,2.0
8,3119708,Coronel Xavier Chaves,0.0
8,3123007,Dores de Campos,0.0
8,3137403,Lagoa Dourada,0.0
8,3139102,Madre de Deus de Minas,0.0
8,3144508,Nazareno,0.0
8,3150307,Piedade do Rio Grande,0.0
8,3152709,Prados,0.0
8,3154200,Resende Costa,0.0
8,3156106,Ritápolis,2.0
8,3157336,Santa Cruz de Minas,2.0
8,3158706,Santana do Garambéu,0.0
8,3162500,São João del-Rei,2.0
8,3165008,São Tiago,1.0
8,3168804,Tiradentes,0.0
9,3115201,Conceição da Barra de Minas,2.0
9,3119708,Coronel Xavier Chaves,0.0
9,3123007,Dores de Campos,0.0
9,3137403,Lagoa Dourada,0.0
9,3139102,Madre de Deus de Minas,0.0
9,3144508,Nazareno,0.0
9,3150307,Piedade do Rio Grande,0.0
9,3152709,Prados,0.0
9,3154200,Resende Costa,0.0
9,3156106,Ritápolis,2.0
9,3157336,Santa Cruz de Minas,2.0
9,3158706,Santana do Garambéu,0.0
9,3162500,São João del-Rei,2.0
9,3165008,São Tiago,1.0
9,3168804,Tiradentes,0.0
10,3115201,Conceição da Barra de Minas,2.0
10,3119708,Coronel Xavier Chaves,0.0
10,3123007,Dores de Campos,0.0
10,3137403,Lagoa Dourada,0.0
10,3139102,Madre de Deus de Minas,0.0
10,3144508,Nazareno,0.0
10,3150307,Piedade do Rio Grande,0.0
10,3152709,Prados,0.0
10,3154200,Resende Costa,0.0
10,3156106,Ritápolis,2.0
10,3157336,Santa Cruz de Minas,2.0
10,3158706,Santana do Garambéu,0.0
10,3162500,São João del-Rei,2.0
10,3165008,São Tiago,1.0
10,3168804,Tiradentes,0.0
11,3115201,Conceição da Barra de Minas,2.0
11,3119708,Coronel Xavier Chaves,0.0
11,3123007,Dores de Campos,0.0
11,3137403,Lagoa Dourada,0.0
11,3139102,Madre de Deus de Minas,0.0
11,3144508,Nazareno,0.0
11,3150307,Piedade do Rio Grande,0.0
11,3152709,Prados,0.0
11,3154200,Resende Costa,0.0
11,3156106,Ritápolis,2.0
11,3157336,Santa Cruz de Minas,2.0
11,3158706,Santana do Garambéu,0.0
